SPECIES,Climate_susceptibility,SCIENTIFIC_NAME,TAXONNAME,LMAX,TROPHIC
LARU,High,Labroides rubrolabiatus,Labroides rubrolabiatus,9,MI
LAUN,Very high,Labrichthys unilineatus,Labrichthys unilineatus,16,Cor
LAXA,High,Labropsis xanthonota,Labropsis xanthonota,14,MI
LEOB,Very low,Lethrinus obsoletus,Lethrinus obsoletus,50,MI
LETH,Very low,,Lethrinus sp,86,MI
LEXA,Very low,Lethrinus xanthochilus,Lethrinus xanthochilus,62,Pisc
LIZA,Very low,,Synodontidae,22,Pisc
LUBO,Very low,Lutjanus bohar,Lutjanus bohar,90,Pisc
LUFU,Negligible,Lutjanus fulvus,Lutjanus fulvus,43,MI
LUGI,Very low,Lutjanus gibbus,Lutjanus gibbus,53,MI
LUKA,Negligible,Lutjanus kasmira,Lutjanus kasmira,40,MI
LUMO,Very low,Lutjanus monostigma,Lutjanus monostigma,60,Pisc
MABR,Negligible,Malacanthus brevirostris,Malacanthus brevirostris,30,MI
MALA,Very low,Malacanthus latovittatus,Malacanthus latovittatus,45,MI
MAMA,Very low,Macolor macularis,Macolor macularis,60,Pk
MAME,High,Macropharyngodon meleagris,Macropharyngodon meleagris,15,MI
MANI,Very low,Macolor niger,Macolor niger,75,Pk
MEAT,High,Meiacanthus atrodorsalis,Meiacanthus atrodorsalis,10,Pk
MENI,Negligible,Melichthys niger,Melichthys niger,38,Pk
MEVI,Negligible,Melichthys vidua,Melichthys vidua,34,H
MOGR,Negligible,Monotaxis grandoculis,Monotaxis grandoculis,63,MI
MUVA,Negligible,Mulloidichthys vanicolensis,Mulloidichthys vanicolensis,38,MI
MYAD,Very low,Myripristis adusta,Myripristis adusta,32,Pk
MYBE,Very low,Myripristis berndti,Myripristis berndti,33,Pk
MYKU,High,Myripristis kuntee,Myripristis kuntee,23,Pk
MYSP,Very low,,Myripristinae,35,Pk
NABR,Very low,Naso brevirostris,Naso brevirostris,60,Pk
NAHE,Very low,Naso hexacanthus,Naso hexacanthus,75,Pk
NALI,Negligible,Naso lituratus,Naso lituratus,46,H
NAUN,Negligible,Naso unicornis,Naso unicornis,70,H
NEMA,High,Nemateleotris magnifica,Nemateleotris magnifica,9,Pk
NEOP,Very low,Neoniphon opercularis,Neoniphon opercularis,35,MI
NESA,Negligible,Neoniphon sammara,Neoniphon sammara,32,MI
NOTA,Negligible,Novaculichthys taeniourus,Novaculichthys taeniourus,30,MI
ODNI,Very low,Odonus niger,Odonus niger,40,Pk
OSME,Medium,Ostracion meleagris,Ostracion meleagris,28,SI
OXDI,Very low,Oxycheilinus digramma,Oxycheilinus digramma,30,Pisc
OXLO,Very high,Oxymonacanthus longirostris,Oxymonacanthus longirostris,9,Cor
OXSP,Very low,,Oxycheilinus sp,46,MI
OXUN,Very low,Oxycheilinus unifasciatus,Oxycheilinus unifasciatus,46,Pisc
PAAR,Medium,Paracirrhites arcatus,Paracirrhites arcatus,14,MI
PABA,Very low,Parupeneus barberinus,Parupeneus barberinus,50,MI
PACL,High,Parapercis clathrata,Parapercis clathrata,18,MI
PACY,Very low,Parupeneus cyclostomus,Parupeneus cyclostomus,50,Pisc
PAFO,Very low,Paracirrhites forsteri,Paracirrhites forsteri,23,Pisc
PAHE,Very low,Paracirrhites hemistictus,Paracirrhites hemistictus,28,Pisc
PAIN,Very low,Parupeneus insularis,Parupeneus insularis,33,MI
PAMI,High,Parapercis millepunctata,Parapercis millepunctata,19,MI
PAMU,Negligible,Parupeneus multifasciatus,Parupeneus multifasciatus,38,MI
PAPL,Negligible,Parupeneus pleurostigma,Parupeneus pleurostigma,33,MI
PARR,Negligible,,Scaridae,68,H
PEJA,High,Pervagor janthinosoma,Pervagor janthinosoma,13.5,Om
PEOU,Very low,Pempheris oualensis,Pempheris oualensis,23,Pk
PLDI,Very high,Plectroglyphidodon dickii,Plectroglyphidodon dickii,11,Cor
PLJO,Very high,Plectroglyphidodon johnstonianus,Plectroglyphidodon johnstonianus,12,Cor
PLLA,High,Plectroglyphidodon lacrymatus,Plectroglyphidodon lacrymatus,10,Pk
PLLD,High,Plagiotremus laudandus laudandus,Plagiotremus laudandus laudandus,10,Par
PLLE,Medium,Plectroglyphidodon leucozonus,Plectroglyphidodon leucozonus,12,H
PLLV,Very low,Plectropomus laevis,Plectropomus laevis,125,Pisc
PLPH,Medium,Plectroglyphidodon phoenixensis,Plectroglyphidodon phoenixensis,8.5,H
PLTA,High,Plagiotremus tapeinosoma,Plagiotremus tapeinosoma,10,Par
PLVI,Very low,Plectorhinchus vittatus,Plectorhinchus vittatus,85,MI
POBR,High,Pomacentrus brachialis,Pomacentrus brachialis,10,Pk
POCO,High,Pomacentrus coelestis,Pomacentrus coelestis,7,Pk
POIM,Very low,Pomacanthus imperator,Pomacanthus imperator,38,SI
PONR,High,,Pomacentrus nigriradiatus,10,Pk
POPH,High,,Pomacentrus philippinus,10,Pk
PORI,High,Pomachromis richardsoni,Pomachromis richardsoni,6,Pk
POVA,High,Pomacentrus vaiuli,Pomacentrus vaiuli,10,Pk
PSCE,Medium,Pseudojuloides cerasinus,Pseudojuloides cerasinus,12,MI
PSEV,Medium,Pseudocheilinus evanidus,Pseudocheilinus evanidus,14,MI
PSFL,Very low,Pseudobalistes flavimarginatus,Pseudobalistes flavimarginatus,60,MI
PSHE,High,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,8,MI
PSMO,Very low,Pseudodax moluccanus,Pseudodax moluccanus,26,MI
PSOC,Medium,Pseudocheilinus octotaenia,Pseudocheilinus octotaenia,14,MI
PSTE,Medium,Pseudocheilinus tetrataenia,Pseudocheilinus tetrataenia,8,MI
PTEV,High,Ptereleotris evides,Ptereleotris evides,18,Pk
PTHE,High,Ptereleotris heteroptera,Ptereleotris heteroptera,12,Pk
PTTI,Very low,Pterocaesio tile,Pterocaesio tile,30,Pk
PTZE,High,Ptereleotris zebra,Ptereleotris zebra,12,Pk
PYDI,Very low,Pygoplites diacanthus,Pygoplites diacanthus,25,SI
RHRE,Negligible,Rhinecanthus rectangulus,Rhinecanthus rectangulus,25,MI
SACA,Very low,Sargocentron caudimaculatum,Sargocentron caudimaculatum,25,MI
SADI,Medium,Sargocentron diadema,Sargocentron diadema,17,MI
SASP,Negligible,Sargocentron spiniferum,Sargocentron spiniferum,52,MI
SATI,Negligible,Sargocentron tiere,Sargocentron tiere,33,MI
SCAL,Negligible,Scarus altipinnis,Scarus altipinnis,60,H
SCDM,Negligible,Scarus dimidiatus,Scarus dimidiatus,50,H
SCFE,Negligible,Scarus festivus,Scarus festivus,45,H
SCFO,Negligible,Scarus forsteni,Scarus forsteni,55,H
SCFR,Negligible,Scarus frenatus,Scarus frenatus,47,H
SCGH,Negligible,Scarus ghobban,Scarus ghobban,90,H
SCGL,Negligible,Scarus globiceps,Scarus globiceps,31,H
SCNI,Negligible,Scarus niger,Scarus niger,43,H
SCOV,Negligible,Scarus oviceps,Scarus oviceps,38,H
SCPS,Negligible,Scarus psittacus,Scarus psittacus,33,H
SCRU,Negligible,Scarus rubroviolaceus,Scarus rubroviolaceus,70,H
SCSC,Negligible,Scarus schlegeli,Scarus schlegeli,38,H
SCSI,Negligible,Scarus spinus,Scarus spinus,31,H
SCSP,Negligible,,Scarus sp,130,H
SCTR,Negligible,Scarus tricolor,Scarus tricolor,55,H
SIAR,Negligible,Siganus argenteus,Siganus argenteus,42,H
STAL,Medium,Stegastes albifasciatus,Stegastes albifasciatus,11,H
STBN,High,Stethojulis bandanensis,Stethojulis bandanensis,16,Pk
STFA,Medium,Stegastes fasciolatus,Stegastes fasciolatus,16,H
STLI,Medium,Stegastes lividus,Stegastes lividus,13,H
STNI,Medium,Stegastes nigricans,Stegastes nigricans,14,H
STST,High,Stethojulis strigiventer,Stethojulis strigiventer,15,MI
SUBU,Negligible,Sufflamen bursa,Sufflamen bursa,28,MI
SUCH,Very low,Sufflamen chrysopterum,Sufflamen chrysopterum,22,MI
SUFR,Negligible,Sufflamen fraenatum,Sufflamen fraenatum,38,MI
SYBI,High,Synodus binotatus,Synodus binotatus,17,Pisc
THAM,High,Thalassoma amblycephalum,Thalassoma amblycephalum,15,Pk
THHA,Very low,Thalassoma hardwicke,Thalassoma hardwicke,20,Pk
THLU,Negligible,Thalassoma lutescens,Thalassoma lutescens,25,MI
THPU,Negligible,Thalassoma purpureum,Thalassoma purpureum,43,MI
THQU,Medium,Thalassoma quinquevittatum,Thalassoma quinquevittatum,17,MI
UPTA,Very low,Upeneus taeniopterus,Upeneus taeniopterus,33,MI
VAAL,Very low,Variola albimarginata,Variola albimarginata,65,Pisc
VALO,Very low,Variola louti,Variola louti,83,Pisc
VAST,High,Valenciennea strigata,Valenciennea strigata,16,MI
WRAS,Very low,,Labridae,93,MI
ZACO,Negligible,Zanclus cornutus,Zanclus cornutus,20,SI
ZEFL,Negligible,Zebrasoma flavescens,Zebrasoma flavescens,20,H
ZERO,Negligible,Zebrasoma rostratum,Zebrasoma rostratum,21,H
ZESC,Negligible,Zebrasoma scopas,Zebrasoma scopas,20,H
ZEVE,Negligible,Zebrasoma veliferum,Zebrasoma veliferum,40,H
